id,name,street_address,suburb,postcode,phone_number,url,monday_opens_at,monday_closes_at,tuesday_opens_at,tuesday_closes_at,wednesday_opens_at,wednesday_closes_at,thursday_opens_at,thursday_closes_at,friday_opens_at,friday_closes_at,saturday_opens_at,saturday_closes_at,sunday_opens_at,sunday_closes_at
bondi-social,Bondi Social,38 Campbell Pde,Bondi,2026,(02) 9365 1788,http://www.bondisocial.com/,17:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,8:00:00,0:00:00,8:00:00,0:00:00
bridgeview-hotel,Bridgeview Hotel,580 Willoughby Rd,Willoughby,2068,(02) 9958 4145,http://www.bridgeviewhotel.com.au/,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00
bull-bush-hotel,Bull &amp; Bush Hotel,378 Windsor Rd,Baulkham Hills,2153,(02) 9639 4008,http://www.bullnbush.com.au/,9:00:00,3:00:00,9:00:00,3:00:00,9:00:00,3:00:00,9:00:00,3:00:00,9:00:00,3:00:00,9:00:00,3:00:00,10:00:00,22:00:00
bungalow-8,Bungalow 8,3 Lime St,Darling Harbour,2000,(02) 9299 4660,http://www.bungalow8sydney.com/home.html,12:00:00,1:00:00,12:00:00,1:00:00,12:00:00,1:00:00,12:00:00,1:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,1:00:00
burwood-rsl,Burwood RSL,96 Shaftesbury Rd,Burwood,2134,(02) 9744 7444,http://www.burwoodrsl.com.au/index.php,9:00:00,0:00:00,9:00:00,0:00:00,9:00:00,0:00:00,9:00:00,0:00:00,9:00:00,3:00:00,9:00:00,3:00:00,8:30:00,0:00:00
cabana-bar-lounge,Cabana Bar &amp; Lounge,80 Christie St,St Leonards,2065,(02) 9436 4288,http://www.cabanabar.com.au/,11:00:00,3:00:00,11:00:00,3:00:00,11:00:00,3:00:00,11:00:00,3:00:00,11:00:00,3:00:00,12:00:00,3:00:00,12:00:00,22:00:00
camperdown-hotel,Camperdown Hotel,138 Parramatta Rd,Camperdown,2050,(02) 9557 1615,http://www.camperdownhotel.com.au/,12:00:00,21:00:00,12:00:00,21:00:00,12:00:00,21:00:00,12:00:00,21:00:00,10:00:00,3:00:00,10:00:00,3:00:00,12:00:00,21:00:00
canterbury-hurlstone-park-rsl,Canterbury Hurlstone Park RSL,20-26 Canterbury Rd,Hurlstone Park,2193,(02) 9559 0000,http://www.chprsl.com.au,8:00:00,6:00:00,8:00:00,6:00:00,8:00:00,6:00:00,8:00:00,6:00:00,8:00:00,6:00:00,8:00:00,6:00:00,8:00:00,6:00:00
cargo-bar,Cargo Bar,King St Wharf,Darling Harbour,2000,(02) 9262 1777,http://www.cargobar.com.au,11:30:00,0:00:00,11:30:00,0:00:00,11:30:00,0:00:00,11:30:00,4:00:00,11:30:00,4:00:00,11:30:00,4:00:00,11:30:00,0:00:00
carmens-nightclub,Carmen's Nightclub,590 Kingsway,Miranda,2228,(02) 9524 0398,http://www.carmens.com.au/,11:30:00,0:00:00,11:30:00,0:00:00,11:30:00,0:00:00,11:30:00,4:00:00,11:30:00,4:00:00,11:30:00,4:00:00,11:30:00,0:00:00
castle-hill-tavern,Castle Hill Tavern,25 Victoria Av,Castle Hill,2154,(02) 9634 5300,http://www.castlehilltavern.com.au/,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,0:00:00
chamberlain-hotel,Chamberlain Hotel,428 Pitt St,Sydney,2000,(02) 9288 0888,http://www.chamberlainhotel.com.au/,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,4:00:00,10:00:00,4:00:00,10:00:00,4:00:00,12:00:00,22:00:00
charing-cross-hotel,Charing Cross Hotel,81 Carrington Rd,Waverly,2024,(02) 9389 3093,http://www.laundy.com.au/,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,1:00:00,10:00:00,1:00:00,10:00:00,22:00:00
charlie-chans,Charlie Chans,631-635 George St,Sydney,2000,(02) 9281 4299,http://www.charliechans.com.au/,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,1:00:00,10:00:00,1:00:00,10:00:00,22:00:00
chatswood-rsl-club,Chatswood RSL Club,446 Victoria Av,Chatswood,2067,(02) 9419 4765,http://www.chatswoodrsl.com.au/index.cfm?page_id=1276&amp;amp;page=About,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00
cheers-bar,Cheers Bar,561 George St,Sydney,2000,(02) 9261 8313,http://www.cheersbar.com.au,9:00:00,6:00:00,9:00:00,6:00:00,9:00:00,6:00:00,9:00:00,6:00:00,9:00:00,6:00:00,9:00:00,6:00:00,9:00:00,6:00:00
chelsea-hotel,Chelsea Hotel,10-14 Railway St,Chatswood,2067,(02) 9411 4995,http://www.chelseahotel.com.au/,10:00:00,1:00:00,10:00:00,1:00:00,10:00:00,1:00:00,10:00:00,1:00:00,10:00:00,1:00:00,10:00:00,1:00:00,12:00:00,22:00:00
city-of-sydney-rsl,City of Sydney RSL,565 - 567 George St,Sydney,2000,(02) 9264 6281,http://www.clubcitycentral.com.au/,11:30:00,21:00:00,11:30:00,21:00:00,11:30:00,21:00:00,11:30:00,21:00:00,11:30:00,23:30:00,11:30:00,23:30:00,11:30:00,21:00:00
clock-hotel,Clock Hotel,470 Crown St,Surry Hills,2010,(02) 9331 5333,http://www.clockhotel.com.au,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,21:00:00
club-five-dock,Club Five Dock,66 Great North Rd,Five Dock,2046,(02) 9712 2055,http://www.clubfivedock.com.au,17:30:00,20:30:00,17:30:00,20:30:00,17:30:00,20:30:00,12:00:00,14:30:00,17:30:00,21:30:00,17:30:00,21:30:00,17:30:00,20:30:00
coach-horses-hotel,Coach &amp; Horses Hotel,147 Avoca St,Randwick,2031,(02) 9399 3005,http://www.coachandhorseshotel.com.au/,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,4:00:00,10:00:00,5:00:00,9:00:00,5:00:00,10:00:00,0:00:00
cock-n-bull,Cock N Bull,89 Ebley St,Bondi Junction,2022,(02) 9389 3004,http://www.cocknbull.com.au,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,4:00:00,10:00:00,5:00:00,9:00:00,5:00:00,10:00:00,0:00:00
cohi-bar,Cohi Bar,359 Harbourside,Darling Harbour,2000,(02) 9281 4440,http://www.cohibar.com.au,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00
commodore-hotel,Commodore Hotel,206 Blues Point Rd,North Sydney,2060,(02) 9922 5098,http://www.commodorehotel.com.au,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,1:00:00,10:00:00,1:00:00,10:00:00,1:00:00,10:00:00,22:00:00
concord-rsl-community-club,Concord RSL &amp; Community Club,Nullawarra Avenue (opposite Narrinda St),Concord West,2138,(02) 9743 1308,http://www.concordrsl.com.au/,11:00:00,22:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,3:00:00,10:00:00,3:00:00,10:00:00,22:00:00
coogee-bay-hotel,Coogee Bay Hotel,Cnr Coogee Bay Rd & Arden St,Coogee,2034,(02) 9665 0000,http://www.coogeebayhotel.com.au,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00
coopers-hotel,Cooper's Hotel,221 King St,Newtown,2042,(02) 9550 3461,http://www.coopershotel.com.au,7:00:00,0:00:00,7:00:00,0:00:00,7:00:00,0:00:00,7:00:00,0:00:00,7:00:00,0:00:00,9:00:00,0:00:00,10:00:00,22:00:00
courthouse-hotel,Courthouse Hotel,202 Australia St,Newtown,2042,(02) 9519 8273,http://www.solotel.com.au/SolotelHotel/520/n/3/0/0/,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,22:00:00
criterion-hotel,Criterion Hotel,Cnr Pitt St & Park St,Sydney,2000,(02) 9264 3093,http://www.criterionhotel.net.au,0:00:00,23:59:00,0:00:00,23:59:00,0:00:00,23:59:00,0:00:00,23:59:00,0:00:00,23:59:00,0:00:00,23:59:00,0:00:00,23:59:00
cronulla-rsl,Cronulla RSL,38 Gerrale St,New South Wales,2230,(02) 9523 6833,http://www.cronullarsl.com.au/php/index.php,10:00:00,22:30:00,10:00:00,22:30:00,10:00:00,23:30:00,10:00:00,0:00:00,10:00:00,1:00:00,10:00:00,1:00:00,10:00:00,22:00:00
crows-nest-hotel,Crows Nest Hotel,1 Willoughby Rd,Crows Nest,2065,(02) 9436 4887,http://www.crowsnesthotel.com.au,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,4:00:00,10:00:00,4:00:00,10:00:00,6:00:00,9:00:00,5:00:00,10:00:00,0:00:00
cruise-bar,Cruise Bar,Overseas Passenger Terminal Level 1 Circular Quay,The Rocks,2000,(02) 9251 1188,http://www.cruisebar.com.au,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,2:00:00,11:00:00,2:00:00,11:00:00,22:00:00
customs-house-bar,Customs House Bar,17 Macquarie Place,Circular Quay,2000,(02) 9259 7000,http://www.chb.sydneyharbourmarriott.com.au/restaurant/hotels/hotel-information/travel/SYDMC-Customs-House-Bar/,8:00:00,3:00:00,8:00:00,3:00:00,8:00:00,3:00:00,8:00:00,3:00:00,8:00:00,3:00:00,8:00:00,3:00:00,8:00:00,3:00:00
darlo-bar,Darlo Bar,306 Liverpool St (Cnr Darlinghurst Rd),Darlinghurst,2010,(02) 9331 3672,http://www.darlobar.com.au/,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,12:00:00,0:00:00
different-drummer,Different Drummer,185 Glebe Point Rd,Glebe,2037,(02) 9552 3406,http://www.differentdrummer.com.au/,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,12:00:00,0:00:00
docks-hotel,Docks Hotel,Shop 225 Harbourside,Darling Harbour,2000,(02) 9280 2270,http://www.dockshotel.com.au/,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00
duck-and-swan,Duck and Swan,74 Rose St,Chippendale,2008,(02) 9319 4778,http://www.duckandswan.com/index.html,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,14:00:00,20:00:00
duke-of-edinburgh-hotel,Duke of Edinburgh Hotel,148 Enmore Rd,Enmore,2042,(02) 9550 3452,http://www.duke-hotel.com/,9:00:00,0:00:00,9:00:00,0:00:00,9:00:00,2:00:00,9:00:00,2:00:00,9:00:00,2:00:00,9:00:00,2:00:00,10:00:00,22:00:00
durty-nellys,Durty Nelly's,9-11 Glenmore Rd,Paddington,2021,(02) 9360 4467,http://www.durtynellyssydney.com.au/,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,12:00:00,22:00:00
east-village,East Village,234 Palmer St,East Sydney,2010,(02) 9331 5457,http://www.eastvillage.com.au/,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,22:00:00
edinburgh-castle-hotel,Edinburgh Castle Hotel,294 Pitt St,Sydney,2000,02) 9264 8616,http://www.edinburghcastlehotel.com.au/EdinburghCastleHotel/520/765/3/0/0/,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,12:00:00,2:00:00,12:00:00,2:00:00,12:00:00,10:00:00
empire-hotel,Empire Hotel,32 Darlinghurst Rd,Kings Cross,2010,(02) 9360 7531,http://www.empirehotel.net,0:00:00,23:59:00,0:00:00,23:59:00,0:00:00,23:59:00,0:00:00,23:59:00,0:00:00,23:59:00,0:00:00,23:59:00,0:00:00,23:59:00
epoque-belgian-beer-cafe,Epoque Belgian Beer Cafe,429 Miller St,Cammeray,2062,(02) 9954 3811,http://www.belgian-beer-cafe.com.au/epoque.html,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00
epping-hotel,Epping Hotel,58 Beecroft Rd,Epping,2121,(02) 9876 1855,http://www.eppinghotel.com.au/,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,22:00:00
establishment-hotel,Establishment Hotel,5 Bridge Lane,Sydney,2000,(02) 9240 3100,http://www.merivale.com/,11:00:00,1:00:00,11:00:00,1:00:00,11:00:00,2:00:00,11:00:00,3:00:00,11:00:00,3:00:00,12:00:00,3:00:00,20:00:00,1:00:00
excelsior-hotel-surry-hills,Excelsior Hotel Surry Hills,64 Foveaux St,Surry Hills,2010,(02) 9211 4945,http://www.excelsiorhotel.com.au/,11:00:00,1:00:00,11:00:00,1:00:00,11:00:00,2:00:00,11:00:00,3:00:00,11:00:00,3:00:00,12:00:00,3:00:00,20:00:00,1:00:00
family-inn-hotel,Family Inn Hotel,278 Victoria Rd,Rydalmere,2116,(02) 9638 1778,http://www.laundy.com.au/family,10:00:00,1:00:00,10:00:00,1:00:00,10:00:00,1:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,22:00:00
fire-fly-walsh-bay,Fire Fly Walsh Bay,"17 Hickson Rd, Walsh Bay, Sydney NSW 2000",Sydney,2000,(02) 9241 2031,http://www.fireflybar.com.au/,10:00:00,1:00:00,10:00:00,1:00:00,10:00:00,1:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,3:00:00,10:00:00,22:00:00
firefly-lane-cove,Firefly Lane Cove,24-28 Burns Bay Rd Lane Cove NSW 2066,Lane Cove,2066,(02) 9420 1629,http://www.fireflybar.com.au,7:00:00,21:30:00,7:00:00,21:30:00,7:00:00,21:30:00,7:00:00,21:30:00,7:00:00,22:00:00,7:00:00,22:00:00,7:00:00,21:30:00
forest-lodge-hotel,Forest Lodge Hotel,117 Arundel St,Glebe,2037,(02) 9660 1872,http://www.forestlodgehotel.com.au/forestlodgebar.html,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,12:00:00,22:00:00
forresters-hotel,Forresters Hotel,Cnr Riley St & Foveaux St,Surry Hills,2010,(02) 9211 2095,http://www.forresters.com.au/,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,1:00:00,10:00:00,1:00:00,10:00:00,22:00:00
four-in-hand-hotel,Four In Hand Hotel,105 Sutherland St (Cnr Elizabeth Street),Paddington,2021,(02) 9326 2254,http://www.fourinhand.com.au/,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,22:00:00
freeway-hotel,Freeway Hotel,115 Reserve Rd Cnr Gore Hill Fwy,Artarmon,2064,(02) 9437 0000,http://www.freewayhotel.com.au/,9:00:00,22:00:00,9:00:00,23:00:00,9:00:00,23:00:00,9:00:00,0:00:00,9:00:00,0:00:00,9:00:00,2:00:00,9:00:00,22:00:00
friend-in-hand-hotel,Friend In Hand Hotel,58 Cowper St,Glebe,2037,(02) 9660 2326,http://www.friendinhand.com.au/,8:00:00,0:00:00,8:00:00,0:00:00,8:00:00,0:00:00,8:00:00,0:00:00,8:00:00,0:00:00,8:00:00,0:00:00,12:00:00,22:00:00
garry-owen-hotel,Garry Owen Hotel,778 Darling St,Rozelle,2039,(02) 9810 1082,http://www.laundy.com.au/garryowen,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,22:00:00
glasshouse-uts,Glasshouse @ UTS,15 Broadway,Broadway,2000,(02) 9514 1149,http://www.utsunion.uts.edu.au/bars/glasshouse.html,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00
glenmore-hotel,Glenmore Hotel,96 Cumberland St,The Rocks,2000,(02) 9247 4794,http://www.glenmorehotel.com.au/,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,1:00:00,11:00:00,1:00:00,12:00:00,22:00:00
golden-barley-hotel,Golden Barley Hotel,165 Edgeware Rd,Enmore,2042,(02) 9565 1166,http://www.goldenbarleyhotel.com.au/index.php?id=2,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,2:00:00,10:00:00,0:00:00
greengate-hotel,Greengate Hotel,655a Pacific Hwy,Killara,2071,(02) 9498 3577,http://www.greengatehotel.com.au/,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,22:00:00
greenwood-hotel,Greenwood Hotel,36 Blue St,North Sydney,2060,(02) 9964 9477,http://www.greenwoodhotel.com/,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,2:00:00,12:00:00,2:00:00,12:00:00,2:00:00,12:00:00,22:00:00
grosvenor-hotel,Grosvenor Hotel,153 Phillip St,Waterloo,2017,(02) 9698 2904,http://www.thegrosvenorhotel.com.au/,9:00:00,0:00:00,9:00:00,0:00:00,9:00:00,0:00:00,9:00:00,0:00:00,9:00:00,0:00:00,9:00:00,0:00:00,12:00:00,22:00:00
harlequin-inn,Harlequin Inn,152-156 Harris St,Pyrmont,2009,(02) 9660 8146,http://www.harlequininn.com.au/,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,22:00:00
harold-park-hotel,Harold Park Hotel,70A Ross St,Glebe,2037,(02) 9660 4745,http://www.haroldparkhotel.com.au/,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,23:00:00
helm-bar,Helm Bar,Aquarium Wharf Wheat Rd,Darling Harbour,2000,(02) 9290 1571,http://www.helmbar.com.au/,11:30:00,3:00:00,11:30:00,3:00:00,11:30:00,3:00:00,11:30:00,3:00:00,11:30:00,3:00:00,11:30:00,3:00:00,11:30:00,3:00:00
henry-afrikas,Henry Afrikas,42 North Steyne,Manly,2095,(02) 9977 7400,http://www.henryafrikas.com.au/,12:00:00,22:00:00,12:00:00,22:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00
henry-henry-bar,Henry Henry Bar,8a Lee St,Sydney,2000,(02) 9211 8893,http://www.henryhenry.com.au/,12:00:00,22:00:00,12:00:00,22:00:00,12:00:00,0:00:00,12:00:00,0:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00
heritage-belgian-beer-cafe,Heritage Belgian Beer Cafe,135 Harrington St,The Rocks,2000,(02) 9241 1775,http://www.belgian-beer-cafe.com.au,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00
hermanns-bar-usyd,Hermanns Bar @ USYD,Cnr City Road & Butlin Avenue,Darlington,2052,1800 013 201,http://www.hermannsbar.com/,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00,12:00:00,3:00:00
hillside-hotel,Hillside Hotel,273 Old Northern Rd,Castle Hill,2154,(02) 9680 8788,http://hillsidehotel.com.au/,9:00:00,0:00:00,9:00:00,0:00:00,9:00:00,0:00:00,9:00:00,0:00:00,9:00:00,0:00:00,9:00:00,1:00:00,9:00:00,22:00:00
